street,number,neighborhood,city,state,country,zipcode,store_id,store_name
Mooca Plaza Shopping,313,Rua Capitão Pacheco e Chaves,Mooca,Vila Prudente,Brasil,03126-000,785,ARE TRAMUO 
Mooca Plaza Shopping,313,Rua Capitão Pacheco e Chaves,Mooca,Vila Prudente,Brasil,03126-000,786,LU PUMAM RICIRIMS 
Mooca Plaza Shopping,313,Rua Capitão Pacheco e Chaves,Mooca,Vila Prudente,Brasil,03126-000,787,PUGOIE 
Cinemark,313,Rua Capitão Pacheco e Chaves,Parque da Mooca,Mooca,Brasil,03126-000,790,MZU SMUIG FICMIRO 
Rua Engenheiro Enaldo Cravo Peixoto,,Rio de Janeiro,Rio de Janeiro,20530-230,Brasil,20530-230,791,PULGAIM SIOLLU 
Avenida Dom Hélder Câmara,,Rio de Janeiro,Rio de Janeiro,20771-310,Brasil,20771-310,792,CIOLAMISM 
Avenida Luís Carlos Prestes,,Rio de Janeiro,Rio de Janeiro,22640-120,Brasil,22640-120,801,CIMUAMI PUIMISURI 
Avenida Luís Carlos Prestes,,Rio de Janeiro,Rio de Janeiro,22640-120,Brasil,22640-120,802,PIAMUARIS CIFO 
Botafogo Praia Shopping,400,Praia de Botafogo,Botafogo,Rio de Janeiro,Brasil,22250-040,804,MOIRI MPECILIMU PIR 
,,,,,,,806,IMLAIZA
,,,,,,,807,ZIMRPI
,,,,,,,808,ROICIPIP
Hospital Sancta Maggiore Paraíso,1137,Rua Maestro Cardim,Bela Vista,Vila Mariana,Brasil,01323-001,809,GARPI 
Shopping Rio Design Barra,7777,Avenida das Américas,Américas Park,Barra da Tijuca,Brasil,22793-081,810,PIULIMGURAU 
Rua Engenheiro Enaldo Cravo Peixoto,,Rio de Janeiro,Rio de Janeiro,20530-230,Brasil,20530-230,811,CISI DA PRUSI 
Shopping Cidade São Paulo,,Morro dos Ingleses,Bela Vista,São Paulo,Brasil,01405-000,824,RUMOU VUREU 
Avenida Luís Carlos Prestes,,Rio de Janeiro,Rio de Janeiro,22640-120,Brasil,22640-120,828,MUI SZIP 
Morumbi Shopping,1089,Avenida Roque Petroni Júnior,Santo Amaro,São Paulo,Brasil,04707-900,832,RUSURVI FLIRIA
Mooca Plaza Shopping,313,Rua Capitão Pacheco e Chaves,Mooca,Vila Prudente,Brasil,03126-000,837,SMIR PIAMU 
Shopping Cidade São Paulo,,Morro dos Ingleses,Bela Vista,São Paulo,Brasil,01405-000,840,SIZMUO RICAUMS 
Avenida Dom Hélder Câmara,,Rio de Janeiro,Rio de Janeiro,20771-310,Brasil,20771-310,845,RUA DA RIMU 
Avenida Dom Hélder Câmara,,Rio de Janeiro,Rio de Janeiro,20771-310,Brasil,20771-310,847,GIGIRUS 
Shopping Rio Design Barra,7777,Avenida das Américas,Américas Park,Barra da Tijuca,Brasil,22793-081,850,CIRIRIOU CIRIROI 
Avenida Luís Carlos Prestes,,Rio de Janeiro,Rio de Janeiro,22640-120,Brasil,22640-120,859,CIRIRIOU CIRIROI 
525,,Rio Branco,Porto Alegre,Rio Grande do Sul,Brasil,90630-160,864,RIC IME CZASU 
Botafogo Praia Shopping,400,Praia de Botafogo,Botafogo,Rio de Janeiro,Brasil,22250-040,869,PILIOU RAS 
172,,Primeira Mina,Botafogo,Rio de Janeiro,Brasil,22260-000,870,CUSMUI 
Rua Itacaiúna,,São Paulo,São Paulo,05716-150,Brasil,05716-150,875,RIRURIMUA 
578,,Cerqueira César,Jardim Paulista,São Paulo,Brasil,01424-002,876,IVIMAR 
Mooca Plaza Shopping,313,Rua Capitão Pacheco e Chaves,Mooca,Vila Prudente,Brasil,03126-000,877,IVIMAR 
Shopping Vila Olímpia,360,Rua Olimpíadas,Vila Olímpia,Itaim Bibi,Brasil,04551-000,879,RISIRA 
Avenida Embaixador Abelardo Bueno,,Rio de Janeiro,Rio de Janeiro,22775-039,Brasil,22775-039,882,RUGIRIMA 
Avenida Embaixador Abelardo Bueno,,Rio de Janeiro,Rio de Janeiro,22775-039,Brasil,22775-039,883,GIMA 
Avenida Embaixador Abelardo Bueno,,Rio de Janeiro,Rio de Janeiro,22775-039,Brasil,22775-039,886,RC OUMILEES 
Avenida Embaixador Abelardo Bueno,,Rio de Janeiro,Rio de Janeiro,22775-039,Brasil,22775-039,894,MRIMUIRAI 
Rua Engenheiro Enaldo Cravo Peixoto,,Rio de Janeiro,Rio de Janeiro,20530-230,Brasil,20530-230,902,MRIRI LIP 
Avenida Embaixador Abelardo Bueno,,Rio de Janeiro,Rio de Janeiro,22775-039,Brasil,22775-039,903,PILITAMZI 
Hospital Sancta Maggiore Paraíso,1137,Rua Maestro Cardim,Bela Vista,Vila Mariana,Brasil,01323-001,904,CAIRIR PIPO 
Shopping Vila Olímpia,360,Rua Olimpíadas,Vila Olímpia,Itaim Bibi,Brasil,04551-000,911,RCOUMILES 
Rua Mariante,,Porto Alegre,Rio Grande do Sul,90035-072,Brasil,90035-072,912,MURPURI OUS GURAIS 
Morumbi Shopping,1089,Avenida Roque Petroni Júnior,Santo Amaro,São Paulo,Brasil,04707-900,913,PAMACIS 
Hospital Sancta Maggiore Paraíso,1137,Rua Maestro Cardim,Bela Vista,Vila Mariana,Brasil,01323-001,915,GRIME CRU 
Morumbi Shopping,1089,Avenida Roque Petroni Júnior,Santo Amaro,São Paulo,Brasil,04707-900,918,USIFLUS 
Rua Felisbela Gonçalves,,Vila Formosa,São Paulo,São Paulo,Brasil,03342-900,921,GRIME CRU 
Rua Anita Garibaldi,,Porto Alegre,Rio Grande do Sul,90450-040,Brasil,90450-040,923,GRIME CRU 
Rua Felisbela Gonçalves,,Vila Formosa,São Paulo,São Paulo,Brasil,03342-900,924,LIFM 
Rua Itacaiúna,,São Paulo,São Paulo,05716-150,Brasil,05716-150,931,GUMOUA E ISIM 
Rua Itacaiúna,,São Paulo,São Paulo,05716-150,Brasil,05716-150,933,SUPSIO 
Morumbi Shopping,1089,Avenida Roque Petroni Júnior,Santo Amaro,São Paulo,Brasil,04707-900,938,OIGIPUARO 
Morumbi Shopping,1089,Avenida Roque Petroni Júnior,Santo Amaro,São Paulo,Brasil,04707-900,941,GUMOUA 
Avenida Embaixador Abelardo Bueno,,Rio de Janeiro,Rio de Janeiro,22775-039,Brasil,22775-039,944,ZIMI ZUM 
Rua Felisbela Gonçalves,,Vila Formosa,São Paulo,São Paulo,Brasil,03342-900,945,LUPI 
Rua Felisbela Gonçalves,,Vila Formosa,São Paulo,São Paulo,Brasil,03342-900,946,USIFLUS 
Downtown,500,Avenida das Américas,Jardim Oceânico,Barra da Tijuca,Brasil,22640-100,947,USMIMOI RS 
Morumbi Shopping,1089,Avenida Roque Petroni Júnior,Santo Amaro,São Paulo,Brasil,04707-900,948,RAMZI CISMURUARI RA SIPIMUARI 
Mooca Plaza Shopping,313,Rua Capitão Pacheco e Chaves,Mooca,Vila Prudente,Brasil,03126-000,950,ISIM 
Mooca Plaza Shopping,313,Rua Capitão Pacheco e Chaves,Mooca,Vila Prudente,Brasil,03126-000,951,GRIMEVASAIM 
Shopping Cidade São Paulo,,Morro dos Ingleses,Bela Vista,São Paulo,Brasil,01405-000,952,GRIMEVASAIM 
Grand Cru,1799,Rua Bela Cintra,Cerqueira César,Jardim Paulista,Brasil,01415-007,953,GRIME CRU 
Rua Esculápio,,Rio de Janeiro,Rio de Janeiro,23042-500,Brasil,23042-500,955,CIRIROI U CAI 
Mooca Plaza Shopping,313,Rua Capitão Pacheco e Chaves,Mooca,Vila Prudente,Brasil,03126-000,960,GRIME CRU 
Shopping Villa Lobos,4777,Avenida Doutora Ruth Cardoso,Boaçava,Alto de Pinheiros,Brasil,05477-902,961,PIGUE PIPACO 
161,,Higienópolis,Consolação,São Paulo,Brasil,01229-001,964,GRIME CRU ZAGAUMAPILAS 
196,,Indianópolis,Moema,São Paulo,Brasil,04089-000,965,GRIME CRU 
Avenida Embaixador Abelardo Bueno,,Rio de Janeiro,Rio de Janeiro,22775-039,Brasil,22775-039,966,CIRIROI U CAI 
Attimo,341,Rua Diogo Jácome,Indianópolis,Moema,Brasil,04512-001,967,GRIME CRU VALI MIVI CIMCUAMOI 
57,,Vila Olímpia,Itaim Bibi,São Paulo,Brasil,04534-014,968,GRIME CRU AMIARO CIRUSI  
BarraShoppingSul,300,Avenida Diário de Notícias,Cristal,Porto Alegre,Brasil,90810-080,975,IEPISMI 
BarraShoppingSul,300,Avenida Diário de Notícias,Cristal,Porto Alegre,Brasil,90810-080,976,PAZZI ROIE MIPILAPACO 
BarraShoppingSul,300,Avenida Diário de Notícias,Cristal,Porto Alegre,Brasil,90810-080,977,PRIMZURS RUSMIURIMA U PAZZIRAI 
Marginal Tietê (Expressa),,Casa Verde,São Paulo,São Paulo,Brasil,02512-000,978,ZUPULAR MUC 
Avenida Embaixador Abelardo Bueno,,Rio de Janeiro,Rio de Janeiro,22775-039,Brasil,22775-039,983,LUPIMUIM 
Mooca Plaza Shopping,313,Rua Capitão Pacheco e Chaves,Mooca,Vila Prudente,Brasil,03126-000,984,GIPUMZIGUM 
BarraShoppingSul,300,Avenida Diário de Notícias,Cristal,Porto Alegre,Brasil,90810-080,989,GRIME CRU 
Rua Itacaiúna,,São Paulo,São Paulo,05716-150,Brasil,05716-150,995,ROGLISS ICUSSARAIS 
Mooca Plaza Shopping,313,Rua Capitão Pacheco e Chaves,Mooca,Vila Prudente,Brasil,03126-000,997,PIEURISI MAROI 
Avenida Luís Carlos Prestes,,Rio de Janeiro,Rio de Janeiro,22640-120,Brasil,22640-120,998,TRAZ LOURA RIRMAM 
Avenida Embaixador Abelardo Bueno,,Rio de Janeiro,Rio de Janeiro,22775-039,Brasil,22775-039,999,LUCITA 
Avenida Luís Carlos Prestes,,Rio de Janeiro,Rio de Janeiro,22640-120,Brasil,22640-120,1000,PAI RUMOU 
Shopping Cidade São Paulo,,Morro dos Ingleses,Bela Vista,São Paulo,Brasil,01405-000,1001,PEUIM GAMTRAM 
Avenida Luís Carlos Prestes,,Rio de Janeiro,Rio de Janeiro,22640-120,Brasil,22640-120,1002,OIGIPUARO 
Rua Felisbela Gonçalves,,Vila Formosa,São Paulo,São Paulo,Brasil,03342-900,1003,ZIVIMUI 
Hospital Sancta Maggiore Paraíso,1137,Rua Maestro Cardim,Bela Vista,Vila Mariana,Brasil,01323-001,1006,PUGUM 
Rua Felisbela Gonçalves,,Vila Formosa,São Paulo,São Paulo,Brasil,03342-900,1008,PUGUM 
Avenida Luís Carlos Prestes,,Rio de Janeiro,Rio de Janeiro,22640-120,Brasil,22640-120,1009,CIPIMI PURGUR 
Hotel Ramada,19021,Avenida das Américas,Recreio dos Bandeirantes,Rio de Janeiro,Brasil,22790-703,1010,CICIU SZIS 
Rua Itacaiúna,,São Paulo,São Paulo,05716-150,Brasil,05716-150,1014,OUMGA 
Rua Nova do Tuparoquera,,São Paulo,São Paulo,05844-000,Brasil,05844-000,1015,MUMRIFAM 
BarraShoppingSul,300,Avenida Diário de Notícias,Cristal,Porto Alegre,Brasil,90810-080,1016,PIPS 
BarraShoppingSul,300,Avenida Diário de Notícias,Cristal,Porto Alegre,Brasil,90810-080,1018,ICI EU SIVEMI 
Avenida Luís Carlos Prestes,,Rio de Janeiro,Rio de Janeiro,22640-120,Brasil,22640-120,1019,CISI PIUEUEMI 
Rua Felisbela Gonçalves,,Vila Formosa,São Paulo,São Paulo,Brasil,03342-900,1022,RIRIMI 
Rua Padre Meliton Vigueira Penillos,,São Paulo,São Paulo,05305-011,Brasil,05305-011,1025,IMUI PUGIVI 
Shopping Rio Design Barra,7777,Avenida das Américas,Américas Park,Barra da Tijuca,Brasil,22793-081,1026,AIEMAMIMU IU PRUSEM
Mooca Plaza Shopping,313,Rua Capitão Pacheco e Chaves,Mooca,Vila Prudente,Brasil,03126-000,1027,LIFM 
Marginal Tietê (Expressa),,São Paulo,São Paulo,01142-100,Brasil,01142-100,1029,UVURUSM 
Grand Cru - Jardim Botânico,180,Rua Lopes Quintas,Jardim Botânico,Rio de Janeiro,Brasil,02246-010,1034,GRIME CRU 
Avenida Embaixador Abelardo Bueno,,Rio de Janeiro,Rio de Janeiro,22775-039,Brasil,22775-039,1037,IUMPICA 
Shopping Cidade São Paulo,,Morro dos Ingleses,Bela Vista,São Paulo,Brasil,01405-000,1041,GIPUMZIGUM 
BarraShoppingSul,300,Avenida Diário de Notícias,Cristal,Porto Alegre,Brasil,90810-080,1042,FRUEOU 
BarraShoppingSul,300,Avenida Diário de Notícias,Cristal,Porto Alegre,Brasil,90810-080,1044,ZIVIMUI 
,,,,,,,1056,RIOZ 
BarraShoppingSul,300,Avenida Diário de Notícias,Cristal,Porto Alegre,Brasil,90810-080,1057,IUMPICA 
Mooca Plaza Shopping,313,Rua Capitão Pacheco e Chaves,Mooca,Vila Prudente,Brasil,03126-000,1061,SMIMCU 
Rua Engenheiro Enaldo Cravo Peixoto,,Rio de Janeiro,Rio de Janeiro,20530-230,Brasil,20530-230,1064,GRIME CRU 
Hospital Sancta Maggiore Paraíso,1137,Rua Maestro Cardim,Bela Vista,Vila Mariana,Brasil,01323-001,1071,VIRIMOU 
Avenida Luís Carlos Prestes,,Rio de Janeiro,Rio de Janeiro,22640-120,Brasil,22640-120,1076,SUMIR SIMMPE 
Botafogo Praia Shopping,400,Praia de Botafogo,Botafogo,Rio de Janeiro,Brasil,22250-040,1080,AIEMAMIMU IU PRUSEM
Avenida Embaixador Abelardo Bueno,,Rio de Janeiro,Rio de Janeiro,22775-039,Brasil,22775-039,1082,LIEMAMIMU IU PRUSEM
Morumbi Shopping,1089,Avenida Roque Petroni Júnior,Santo Amaro,São Paulo,Brasil,04707-900,1083,CISI PIUEUEMI 
Shopping Vila Olímpia,360,Rua Olimpíadas,Vila Olímpia,Itaim Bibi,Brasil,04551-000,1084,CISI PIUEUEMI 
Avenida Luís Carlos Prestes,,Rio de Janeiro,Rio de Janeiro,22640-120,Brasil,22640-120,1091,SALITO 
Botafogo Praia Shopping,400,Praia de Botafogo,Botafogo,Rio de Janeiro,Brasil,22250-040,1092,SALITO 
BarraShoppingSul,300,Avenida Diário de Notícias,Cristal,Porto Alegre,Brasil,90810-080,1093,SALITO 
Shopping Rio Design Barra,7777,Avenida das Américas,Américas Park,Barra da Tijuca,Brasil,22793-081,1095,SALITO 
Rua Engenheiro Enaldo Cravo Peixoto,,Rio de Janeiro,Rio de Janeiro,20530-230,Brasil,20530-230,1096,SALITO 
Shopping Vila Olímpia,360,Rua Olimpíadas,Vila Olímpia,Itaim Bibi,Brasil,04551-000,1097,SALITO 
Mooca Plaza Shopping,313,Rua Capitão Pacheco e Chaves,Mooca,Vila Prudente,Brasil,03126-000,1098,SALITO 
Rua Felisbela Gonçalves,,Vila Formosa,São Paulo,São Paulo,Brasil,03342-900,1099,SALITO 
Shopping Cidade São Paulo,,Morro dos Ingleses,Bela Vista,São Paulo,Brasil,01405-000,1101,SALITO 
Morumbi Shopping,1089,Avenida Roque Petroni Júnior,Santo Amaro,São Paulo,Brasil,04707-900,1103,SALITO 
Avenida Dom Hélder Câmara,,Rio de Janeiro,Rio de Janeiro,20771-310,Brasil,20771-310,1104,SALITO 
Hospital Sancta Maggiore Paraíso,1137,Rua Maestro Cardim,Bela Vista,Vila Mariana,Brasil,01323-001,1105,SALITO 
Shopping Villa Lobos,4777,Avenida Doutora Ruth Cardoso,Boaçava,Alto de Pinheiros,Brasil,05477-902,1106,SALITO 
Shopping Villa Lobos,4777,Avenida Doutora Ruth Cardoso,Boaçava,Alto de Pinheiros,Brasil,05477-902,1107,SR SIGIRIMI 
Avenida Embaixador Abelardo Bueno,,Rio de Janeiro,Rio de Janeiro,22775-039,Brasil,22775-039,1114,RIMAI EU TRAPRISCI 
Shopping Villa Lobos,4777,Avenida Doutora Ruth Cardoso,Boaçava,Alto de Pinheiros,Brasil,05477-902,1117,PIPULIRAI RIGMALAI 
Avenida Embaixador Abelardo Bueno,,Rio de Janeiro,Rio de Janeiro,22775-039,Brasil,22775-039,1118,PRISEMCICIU 
Shopping Vila Olímpia,360,Rua Olimpíadas,Vila Olímpia,Itaim Bibi,Brasil,04551-000,1119,ISIM O RIRARIRA 
Morumbi Shopping,1089,Avenida Roque Petroni Júnior,Santo Amaro,São Paulo,Brasil,04707-900,1120,GIPUMZIGUM 
Avenida Luís Carlos Prestes,,Rio de Janeiro,Rio de Janeiro,22640-120,Brasil,22640-120,1121,PRISEMCICIU 
Morumbi Shopping,1089,Avenida Roque Petroni Júnior,Santo Amaro,São Paulo,Brasil,04707-900,1122,MPECILIMUS PRISEMCICIU 
Rua Engenheiro Enaldo Cravo Peixoto,,Rio de Janeiro,Rio de Janeiro,20530-230,Brasil,20530-230,1123,SIRSUMG 
BarraShoppingSul,300,Avenida Diário de Notícias,Cristal,Porto Alegre,Brasil,90810-080,1125,PIZ RUSMIURIMA 
Hotel Ramada,19021,Avenida das Américas,Recreio dos Bandeirantes,Rio de Janeiro,Brasil,22790-703,1127,CIRIROI U CAI 
Ponto de Táxi Shopping Santa Cruz,2560,Rua Domingos de Morais,Vila Mariana,São Paulo,Brasil,04036-000,1128,ZIVIMUI 
Shopping Villa Lobos,4777,Avenida Doutora Ruth Cardoso,Boaçava,Alto de Pinheiros,Brasil,05477-902,1141,CISI RUVAVI 
Rua Voluntários da Pátria,,Porto Alegre,Rio Grande do Sul,90250-680,Brasil,90250-680,1143,GRORAI RIMAI 
Mooca Plaza Shopping,313,Rua Capitão Pacheco e Chaves,Mooca,Vila Prudente,Brasil,03126-000,1146,MZU PIEO SZIP 
Shopping Cidade São Paulo,,Morro dos Ingleses,Bela Vista,São Paulo,Brasil,01405-000,1150,PASCIAMU 
Tijuca Off Shopping,,Tijuca,Rio de Janeiro,Rio de Janeiro,Brasil,20530-230,1152,CISI DA PILIP 
Avenida Dom Hélder Câmara,,Rio de Janeiro,Rio de Janeiro,20771-310,Brasil,20771-310,1153,RIMAI EU TRAPRISCI 
Morumbi Shopping,1089,Avenida Roque Petroni Júnior,Santo Amaro,São Paulo,Brasil,04707-900,1154,ILRU 
Morumbi Shopping,1089,Avenida Roque Petroni Júnior,Santo Amaro,São Paulo,Brasil,04707-900,1157,CISI OUS CACIS 
Rua General Lima e Silva,,Porto Alegre,Rio Grande do Sul,90050-100,Brasil,90050-100,1160,MPECILIMRIS CAOUEU PIASI 
Rua Itacaiúna,,São Paulo,São Paulo,05716-150,Brasil,05716-150,1161,CZALLA PUIMS 
Avenida Dom Hélder Câmara,,Rio de Janeiro,Rio de Janeiro,20771-310,Brasil,20771-310,1162,SIU SIU EUSAGM 
Mooca Plaza Shopping,313,Rua Capitão Pacheco e Chaves,Mooca,Vila Prudente,Brasil,03126-000,1163,PA PISACI 
Shopping Cidade São Paulo,,Morro dos Ingleses,Bela Vista,São Paulo,Brasil,01405-000,1164,GAIVIMUI PIPO 
Ponto de Táxi Shopping Santa Cruz,2560,Rua Domingos de Morais,Vila Mariana,São Paulo,Brasil,04036-000,1165,USIFLUS 
Mooca Plaza Shopping,313,Rua Capitão Pacheco e Chaves,Mooca,Vila Prudente,Brasil,03126-000,1166,RIGAC FAM 
Rua Itacaiúna,,São Paulo,São Paulo,05716-150,Brasil,05716-150,1167,SIMUI LIMOI 
Rua Itacaiúna,,São Paulo,São Paulo,05716-150,Brasil,05716-150,1175,LUVA S 
,,,,,,,1187,IRUZZI 
Rua Itacaiúna,,São Paulo,São Paulo,05716-150,Brasil,05716-150,1199,CISI RUVAVI 
,,,,,,,1204,GRIME CRU 
Rua Felisbela Gonçalves,,Vila Formosa,São Paulo,São Paulo,Brasil,03342-900,1205,ZIPU 
Hotel Ramada,19021,Avenida das Américas,Recreio dos Bandeirantes,Rio de Janeiro,Brasil,22790-703,1208,RUSMIURIMA RIRIOU 
Carrefour Express,1884,Alameda Lorena,Cerqueira César,Jardim Paulista,Brasil,01424-004,1210,RIGU I CIGU 
Shopping Villa Lobos,4777,Avenida Doutora Ruth Cardoso,Boaçava,Alto de Pinheiros,Brasil,05477-902,1213,AMACIS CIRIA
Shopping Villa Lobos,4777,Avenida Doutora Ruth Cardoso,Boaçava,Alto de Pinheiros,Brasil,05477-902,1214,CRICS 
Ponto de Táxi Shopping Santa Cruz,2560,Rua Domingos de Morais,Vila Mariana,São Paulo,Brasil,04036-000,1215,CRICS 
Avenida Luís Carlos Prestes,,Rio de Janeiro,Rio de Janeiro,22640-120,Brasil,22640-120,1218,PALLO MZU GRALA
Mooca Plaza Shopping,313,Rua Capitão Pacheco e Chaves,Mooca,Vila Prudente,Brasil,03126-000,1220,R RIRMIM 
Rua Itacaiúna,,São Paulo,São Paulo,05716-150,Brasil,05716-150,1224,SSIRIVSGA 
Morumbi Shopping,1089,Avenida Roque Petroni Júnior,Santo Amaro,São Paulo,Brasil,04707-900,1230,MZU PIEO SZIP 
Mooca Plaza Shopping,313,Rua Capitão Pacheco e Chaves,Mooca,Vila Prudente,Brasil,03126-000,1232,AMUARASSARA 
Rua Doutor Barros Cassal,,Porto Alegre,Rio Grande do Sul,90035-080,Brasil,90035-080,1233,PIUMCU CIRPIMO 
Mooca Plaza Shopping,313,Rua Capitão Pacheco e Chaves,Mooca,Vila Prudente,Brasil,03126-000,1235,MIARO ZALFAGUR 
Mooca Plaza Shopping,313,Rua Capitão Pacheco e Chaves,Mooca,Vila Prudente,Brasil,03126-000,1236,VACMIR ZUGI 
Mooca Plaza Shopping,313,Rua Capitão Pacheco e Chaves,Mooca,Vila Prudente,Brasil,03126-000,1237,SIRLE MUMUAS 
Mooca Plaza Shopping,313,Rua Capitão Pacheco e Chaves,Mooca,Vila Prudente,Brasil,03126-000,1238,ZURAMG GAES 
Mooca Plaza Shopping,313,Rua Capitão Pacheco e Chaves,Mooca,Vila Prudente,Brasil,03126-000,1239,RULASSI 
Avenida Embaixador Abelardo Bueno,,Rio de Janeiro,Rio de Janeiro,22775-039,Brasil,22775-039,1242,IMICIPRA 
Rua Itacaiúna,,São Paulo,São Paulo,05716-150,Brasil,05716-150,1246,PUGUM 
Hospital Sancta Maggiore Paraíso,1137,Rua Maestro Cardim,Bela Vista,Vila Mariana,Brasil,01323-001,1247,PAGAES 
Rua Itacaiúna,,São Paulo,São Paulo,05716-150,Brasil,05716-150,1254,PUMAM MAMA 
Shopping Cidade São Paulo,,Morro dos Ingleses,Bela Vista,São Paulo,Brasil,01405-000,1259,PUGUM 
Mooca Plaza Shopping,313,Rua Capitão Pacheco e Chaves,Mooca,Vila Prudente,Brasil,03126-000,1263,RAMASI 
Shopping Villa Lobos,4777,Avenida Doutora Ruth Cardoso,Boaçava,Alto de Pinheiros,Brasil,05477-902,1271,IPIQA 
Avenida Luís Carlos Prestes,,Rio de Janeiro,Rio de Janeiro,22640-120,Brasil,22640-120,1272,PAPA CILMIOUS 
Avenida Embaixador Abelardo Bueno,,Rio de Janeiro,Rio de Janeiro,22775-039,Brasil,22775-039,1273,MRICA E FAULE 
Shopping Vila Olímpia,360,Rua Olimpíadas,Vila Olímpia,Itaim Bibi,Brasil,04551-000,1274,MZU PIEO SZIP 
Avenida Embaixador Abelardo Bueno,,Rio de Janeiro,Rio de Janeiro,22775-039,Brasil,22775-039,1276,USIFLUS 
Avenida Embaixador Abelardo Bueno,,Rio de Janeiro,Rio de Janeiro,22775-039,Brasil,22775-039,1278,PAPA CILMIOUS 
Rua Engenheiro Enaldo Cravo Peixoto,,Rio de Janeiro,Rio de Janeiro,20530-230,Brasil,20530-230,1279,PAPA CILMIOUS 
Mooca Plaza Shopping,313,Rua Capitão Pacheco e Chaves,Mooca,Vila Prudente,Brasil,03126-000,1280,RIRIMI 
Morumbi Shopping,1089,Avenida Roque Petroni Júnior,Santo Amaro,São Paulo,Brasil,04707-900,1283,SSIRIVSGA 
Rua Itacaiúna,,São Paulo,São Paulo,05716-150,Brasil,05716-150,1288,STRAMZ 
Shopping Cidade São Paulo,,Morro dos Ingleses,Bela Vista,São Paulo,Brasil,01405-000,1290,SSIRIVSGA 
,,,,,,,1292,SIRSUMG 
Avenida Embaixador Abelardo Bueno,,Rio de Janeiro,Rio de Janeiro,22775-039,Brasil,22775-039,1293,SIRSUMG 
Rua Felisbela Gonçalves,,Vila Formosa,São Paulo,São Paulo,Brasil,03342-900,1300,OIGAMA 
Avenida Dom Hélder Câmara,,Rio de Janeiro,Rio de Janeiro,20771-310,Brasil,20771-310,1303,LIMI EU FAMI PASU 
Hospital Sancta Maggiore Paraíso,1137,Rua Maestro Cardim,Bela Vista,Vila Mariana,Brasil,01323-001,1304,OIGAMA 
Rua Engenheiro Enaldo Cravo Peixoto,,Rio de Janeiro,Rio de Janeiro,20530-230,Brasil,20530-230,1307,GIMA 
Morumbi Shopping,1089,Avenida Roque Petroni Júnior,Santo Amaro,São Paulo,Brasil,04707-900,1314,OIGAMA 
Rua Itacaiúna,,São Paulo,São Paulo,05716-150,Brasil,05716-150,1317,USPIMI PRIMI 
Mooca Plaza Shopping,313,Rua Capitão Pacheco e Chaves,Mooca,Vila Prudente,Brasil,03126-000,1318,PRIMIUVI
Rua Itacaiúna,,São Paulo,São Paulo,05716-150,Brasil,05716-150,1321,PUPALU GALA
525,,Rio Branco,Porto Alegre,Rio Grande do Sul,Brasil,90630-160,1324,PAZZI PIRPACO 
Delboni,,Jardim Parque Morumbi,Vila Andrade,São Paulo,Brasil,05716-150,1325,EUCI SGAM 
Rua Itacaiúna,,São Paulo,São Paulo,05716-150,Brasil,05716-150,1330,R RIRMIM 
Avenida Luís Carlos Prestes,,Rio de Janeiro,Rio de Janeiro,22640-120,Brasil,22640-120,1332,SR MIPICIRAI 
Avenida Luís Carlos Prestes,,Rio de Janeiro,Rio de Janeiro,22640-120,Brasil,22640-120,1333,SUMSARAI 
Rua Engenheiro Enaldo Cravo Peixoto,,Rio de Janeiro,Rio de Janeiro,20530-230,Brasil,20530-230,1335,ILUIMIRO 
Rua Itacaiúna,,São Paulo,São Paulo,05716-150,Brasil,05716-150,1338,OIGPUARO 
Rua Itacaiúna,,São Paulo,São Paulo,05716-150,Brasil,05716-150,1344,CAI RIRAMARI 
Rua Felisbela Gonçalves,,Vila Formosa,São Paulo,São Paulo,Brasil,03342-900,1345,CAI RIRAMARI 
Mooca Plaza Shopping,313,Rua Capitão Pacheco e Chaves,Mooca,Vila Prudente,Brasil,03126-000,1378,SSIRIVSGA 
Avenida Dom Hélder Câmara,,Rio de Janeiro,Rio de Janeiro,20771-310,Brasil,20771-310,1381,ILUIMIRO 
Avenida Dom Hélder Câmara,,Rio de Janeiro,Rio de Janeiro,20771-310,Brasil,20771-310,1383,UMALACISI 
Shopping Villa Lobos,4777,Avenida Doutora Ruth Cardoso,Boaçava,Alto de Pinheiros,Brasil,05477-902,1395,IUMZUMUAC FAM 
Shopping Villa Lobos,4777,Avenida Doutora Ruth Cardoso,Boaçava,Alto de Pinheiros,Brasil,05477-902,1397,IRM SILG 
525,,Rio Branco,Porto Alegre,Rio Grande do Sul,Brasil,90630-160,1399,RUSU 
Morumbi Shopping,1089,Avenida Roque Petroni Júnior,Santo Amaro,São Paulo,Brasil,04707-900,1401,SUPUR GRALA
Rua Itacaiúna,,São Paulo,São Paulo,05716-150,Brasil,05716-150,1404,GAIVIMUI PIPO 
Shopping Cidade São Paulo,,Morro dos Ingleses,Bela Vista,São Paulo,Brasil,01405-000,1406,SUPUR GRALA
Ponto de Táxi Shopping Santa Cruz,2560,Rua Domingos de Morais,Vila Mariana,São Paulo,Brasil,04036-000,1409,PAMACIS 
Rua Felisbela Gonçalves,,Vila Formosa,São Paulo,São Paulo,Brasil,03342-900,1411,CIRACIOU 
Rua Felisbela Gonçalves,,Vila Formosa,São Paulo,São Paulo,Brasil,03342-900,1412,ISZUI 
