street,number,neighborhood,city,state,country,zipcode,store_id,store_name
Festval Silva Jardim,,Rebouças,Curitiba,Paraná,Brasil,80230-000,3230,SUSZA OIRI 
Shopping Vila Olímpia,360,Rua Olimpíadas,Vila Olímpia,Itaim Bibi,Brasil,04551-000,3254,PIMOURUA
Tietê Plaza Shopping,1465,Avenida Raimundo Pereira de Magalhães,Grand Reserva Paulista,Pirituba,Brasil,05913-000,3265,EAVAMI FIGOI 
Park Shopping Barigüi,,Mossunguê,Curitiba,Paraná,Brasil,80740-050,3279,SALITO 
Delboni,,Jardim Parque Morumbi,Vila Andrade,São Paulo,Brasil,05716-150,3284,MZU PIEO SZIP 
1048,,Morro dos Ingleses,Bela Vista,São Paulo,Brasil,01323-001,3285,MZU PIEO SZIP 
Rua Felisbela Gonçalves,,Vila Formosa,São Paulo,São Paulo,Brasil,03550-100,3296,PRAGIEURAI 
Avenida Dom Hélder Câmara,,Rio de Janeiro,Rio de Janeiro,20771-310,Brasil,20771-310,3322,USPIMI RUPRI MUGRI 
BarraShoppingSul,300,Avenida Diário de Notícias,Cristal,Porto Alegre,Brasil,90810-080,3324,LIS RUS 
Rua Dianópolis,,Mooca,São Paulo,São Paulo,Brasil,03127-060,3325,META EASSU PURUMACU 
Delboni,,Jardim Parque Morumbi,Vila Andrade,São Paulo,Brasil,05716-150,3365,RIOPULLAMU 
Shopping Vila Olímpia,360,Rua Olimpíadas,Vila Olímpia,Itaim Bibi,Brasil,04551-000,3370,PUGUM 
Shopping Curitiba,2300,Rua Brigadeiro Franco,Centro,Curitiba,Brasil,80250-130,3388,SURIMRI 
Rua Alberto Samuel Mercante,,Rio de Janeiro,Rio de Janeiro,22775-900,Brasil,22775-900,3393,UV LAMU 
Rua Engenheiro Enaldo Cravo Peixoto,,Rio de Janeiro,Rio de Janeiro,20530-230,Brasil,20530-230,3394,UV LAMU 
Shopping Curitiba,2300,Rua Brigadeiro Franco,Centro,Curitiba,Brasil,80250-130,3401,FRUEOU 
Park Shopping Barigüi,,Mossunguê,Curitiba,Paraná,Brasil,80740-050,3402,FRUEOU 
215,,Portão,Curitiba,Paraná,Brasil,80610-010,3403,FRUEOU 
Festval Silva Jardim,,Rebouças,Curitiba,Paraná,Brasil,80230-000,3404,FRUEOU 
Morumbi Shopping,1089,Avenida Roque Petroni Júnior,Santo Amaro,São Paulo,Brasil,04707-900,3405,PAMOIPIMG 
Rua Alberto Samuel Mercante,,Rio de Janeiro,Rio de Janeiro,22775-900,Brasil,22775-900,3406,QUAGSALVUR 
215,,Portão,Curitiba,Paraná,Brasil,80610-010,3412,RO PISMUAS 
1048,,Morro dos Ingleses,Bela Vista,São Paulo,Brasil,01323-001,3418,IMACIS CIRIA
Botafogo Praia Shopping,400,Praia de Botafogo,Botafogo,Rio de Janeiro,Brasil,22250-040,3420,MZU PIEO SZIP 
Aguiarcycles,1092,Rua Mariante,Rio Branco,Porto Alegre,Brasil,90420-150,3422,EURECA 
Shopping Curitiba,2300,Rua Brigadeiro Franco,Centro,Curitiba,Brasil,80250-130,3432,RIOPULLAMU 
Avenida Dom Hélder Câmara,,Rio de Janeiro,Rio de Janeiro,20771-310,Brasil,20771-310,3433,GRIME CRU 
Rua Dianópolis,,Mooca,São Paulo,São Paulo,Brasil,03127-060,3434,I PIMACIRAI 
Avenida Dom Hélder Câmara,,Rio de Janeiro,Rio de Janeiro,20771-310,Brasil,20771-310,3450,GIMAMI 
Tietê Plaza Shopping,1465,Avenida Raimundo Pereira de Magalhães,Grand Reserva Paulista,Pirituba,Brasil,05913-000,3451,PUGUM 
215,,Portão,Curitiba,Paraná,Brasil,80610-010,3460,CIRIOURI PURGAR 
215,,Portão,Curitiba,Paraná,Brasil,80610-010,3468,RIVUMOI MRIMUIRAI 
Hospital Sancta Maggiore Paraíso,1137,Rua Maestro Cardim,Bela Vista,Vila Mariana,Brasil,01323-001,3490,IMO IMO 
Rua Itacaiúna,,São Paulo,São Paulo,05716-150,Brasil,05716-150,3491,IMO IMO 
Ponto de Táxi Shopping Santa Cruz,2560,Rua Domingos de Morais,Vila Mariana,São Paulo,Brasil,04036-000,3492,IMO IMO 
Mooca Plaza Shopping,313,Rua Capitão Pacheco e Chaves,Mooca,Vila Prudente,Brasil,03126-000,3493,IMO IMO 
Shopping Cidade São Paulo,,Morro dos Ingleses,Bela Vista,São Paulo,Brasil,01405-000,3497,IMO IMO 
Tietê Plaza Shopping,1465,Avenida Raimundo Pereira de Magalhães,Grand Reserva Paulista,Pirituba,Brasil,05913-000,3498,IMO IMO 
Avenida Dom Hélder Câmara,,Rio de Janeiro,Rio de Janeiro,20771-310,Brasil,20771-310,3500,MIA 
Rua Esculápio,,Rio de Janeiro,Rio de Janeiro,23042-500,Brasil,23042-500,3509,GASSA 
Avenida Dom Hélder Câmara,,Rio de Janeiro,Rio de Janeiro,20771-310,Brasil,20771-310,3510,PAIRUMOU 
215,,Portão,Curitiba,Paraná,Brasil,80610-010,3512,GOI SIPIMUSU 
Rua Esculápio,,Rio de Janeiro,Rio de Janeiro,23042-500,Brasil,23042-500,3528,ZIM M MUMEUR 
Shopping Curitiba,2300,Rua Brigadeiro Franco,Centro,Curitiba,Brasil,80250-130,3530,PRIMI U IRMU 
Hospital Sancta Maggiore Paraíso,1137,Rua Maestro Cardim,Bela Vista,Vila Mariana,Brasil,01323-001,3535,CZALLA PUIMS 
Park Shopping Barigüi,,Mossunguê,Curitiba,Paraná,Brasil,80740-050,3541,SUGIR PIGURO 
Tietê Plaza Shopping,1465,Avenida Raimundo Pereira de Magalhães,Grand Reserva Paulista,Pirituba,Brasil,05913-000,3546,RIUSSUCIGU 
Avenida Dom Hélder Câmara,,Rio de Janeiro,Rio de Janeiro,20771-310,Brasil,20771-310,3553,ILUMGI PRISMAUS 
Avenida Embaixador Abelardo Bueno,,Rio de Janeiro,Rio de Janeiro,22775-039,Brasil,22775-039,3588,IRUZZI 
Shopping Curitiba,2300,Rua Brigadeiro Franco,Centro,Curitiba,Brasil,80250-130,3595,IASZPILITA 
Festval Silva Jardim,,Rebouças,Curitiba,Paraná,Brasil,80230-000,3609,ZIZULO 
BarraShoppingSul,300,Avenida Diário de Notícias,Cristal,Porto Alegre,Brasil,90810-080,3612,IMIA CIMCUPM 
